Size,Method,BulkTime,InsertTime,SearchTime
1000,List+Bisect,0.0003476249985396862,6.333296187222004e-07,4.1041988879442215e-07
1000,SortedList,0.0003167500253766775,9.26250359043479e-07,5.179096478968859e-07
100000,List+Bisect,0.03229312493931502,2.4599999887868764e-05,6.929202936589718e-07
100000,SortedList,0.03232470899820328,1.8591596744954585e-06,1.6950001008808613e-06
1000000,List+Bisect,0.3965122919762507,0.0003817720909137279,1.9033404532819986e-06
1000000,SortedList,0.40895141707733274,3.8841599598526955e-06,3.304999554529786e-06
100000000,List+Bisect,56.221748291980475,0.04223007920663804,6.429589120671153e-05
100000000,SortedList,112.69365854200441,0.00012616250896826386,0.0006562750088050962
